% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.211	1	5	22	2	1	28	2196	0	0	0
0.212	1	2	22	3	7	22	1383	0	0	0
0.213	1	3	22	4	3	10	193	0	0	0
0.213	1	4	22	4	8	12	349	0	0	0
0.214	1	6	22	5	4	0	81	0	0	0
0.215	1	1	22	6	2	0	81	0	0	0
0.216	1	3	22	7	3	10	357	0	0	0
0.216	1	6	22	7	4	6	75	0	0	0
0.217	1	6	22	8	4	4	32	0	0	0
0.217	1	2	22	8	7	26	301	0	0	0
0.217	1	4	22	8	8	12	405	0	0	0
0.218	1	3	22	9	3	12	349	0	0	0
0.218	1	6	22	9	4	6	75	0	0	0
0.218	1	4	22	9	8	14	125	0	0	0
0.219	1	3	22	10	3	12	47	0	0	0
0.219	1	6	22	10	4	4	87	0	0	0
0.219	1	4	22	10	8	12	301	0	0	0
0.22	1	3	23	1	3	12	253	0	0	0
0.22	1	6	23	1	4	8	101	0	0	0
0.22	1	4	23	1	8	14	253	0	0	0
0.221	1	1	23	2	2	0	32	0	0	0
0.221	1	3	23	2	3	14	193	0	0	0
0.221	1	6	23	2	4	8	101	0	0	0
0.221	1	4	23	2	8	16	75	0	0	0
0.222	1	3	23	3	3	14	253	0	0	0
0.222	1	6	23	3	4	8	101	0	0	0
0.222	1	4	23	3	8	14	317	0	0	0
0.223	1	1	23	4	2	0	61	0	0	0
0.223	1	6	23	4	4	8	101	0	0	0
0.224	1	1	23	5	2	0	32	0	0	0
0.224	1	6	23	5	4	6	185	0	0	0
0.225	1	1	23	6	2	0	32	0	0	0
0.225	1	6	23	6	4	6	185	0	0	0
0.226	1	1	23	7	2	0	32	0	0	0
0.226	1	6	23	7	4	6	185	0	0	0
0.227	1	1	23	8	2	0	32	0	0	0
0.227	1	6	23	8	4	6	185	0	0	0
0.228	1	1	23	9	2	0	32	0	0	0
0.228	1	6	23	9	4	8	241	0	0	0
0.229	1	1	23	10	2	0	81	0	0	0
0.23	1	1	24	1	2	0	81	0	0	0
0.231	1	1	24	2	2	0	81	0	0	0
0.232	1	1	24	3	2	0	81	0	0	0
0.233	1	1	24	4	2	0	81	0	0	0
0.234	1	1	24	5	2	0	81	0	0	0
0.235	1	1	24	6	2	0	32	0	0	0
0.235	1	2	24	6	7	28	1287	0	0	0
0.236	1	1	24	7	2	0	81	0	0	0
0.237	1	1	24	8	2	0	81	0	0	0
0.238	1	1	24	9	2	0	81	0	0	0
0.239	1	5	24	10	1	28	1287	0	0	0
0.239	1	1	24	10	2	2	53	0	0	0
0.24	1	1	25	1	2	0	81	0	0	0
0.241	1	1	25	2	2	0	81	0	0	0
0.242	1	1	25	3	2	0	81	0	0	0
0.243	1	1	25	4	2	0	81	0	0	0
0.244	1	1	25	5	2	0	32	0	0	0
0.244	1	2	25	5	7	28	1287	0	0	0
0.245	1	1	25	6	2	0	81	0	0	0
0.246	1	1	25	7	2	0	81	0	0	0
0.247	1	1	25	8	2	0	81	0	0	0
0.248	1	5	25	9	1	28	1095	0	0	0
0.248	1	1	25	9	2	2	65	0	0	0
0.249	1	1	25	10	2	0	81	0	0	0
0.25	1	1	26	1	2	0	81	0	0	0
0.251	1	3	26	2	3	14	61	0	0	0
0.251	1	6	26	2	4	16	309	0	0	0
0.251	1	4	26	2	8	16	533	0	0	0
0.252	1	3	26	3	3	14	317	0	0	0
0.252	1	6	26	3	4	16	389	0	0	0
0.252	1	4	26	3	8	18	161	0	0	0
0.253	1	3	26	4	3	14	125	0	0	0
0.253	1	6	26	4	4	18	241	0	0	0
0.253	1	4	26	4	8	18	573	0	0	0
0.254	1	3	26	5	3	14	317	0	0	0
0.254	1	6	26	5	4	16	389	0	0	0
0.254	1	4	26	5	8	18	161	0	0	0
0.255	1	3	26	6	3	14	317	0	0	0
0.255	1	6	26	6	4	16	389	0	0	0
0.255	1	4	26	6	8	18	161	0	0	0
0.256	1	3	26	7	3	14	61	0	0	0
0.256	1	6	26	7	4	18	325	0	0	0
0.256	1	4	26	7	8	16	533	0	0	0
0.257	1	3	26	8	3	14	253	0	0	0
0.257	1	6	26	8	4	18	325	0	0	0
0.257	1	4	26	8	8	18	325	0	0	0
0.258	1	1	26	9	2	10	117	0	0	0
0.258	1	3	26	9	3	14	253	0	0	0
0.258	1	6	26	9	4	18	79	0	0	0
0.258	1	4	26	9	8	18	325	0	0	0
0.259	1	1	26	10	2	10	117	0	0	0
0.259	1	3	26	10	3	14	253	0	0	0
0.259	1	6	26	10	4	16	225	0	0	0
0.259	1	4	26	10	8	18	161	0	0	0
0.26	1	1	27	1	2	10	117	0	0	0
0.26	1	3	27	1	3	14	125	0	0	0
0.26	1	6	27	1	4	14	61	0	0	0
0.26	1	4	27	1	8	18	485	0	0	0
0.261	1	1	27	2	2	8	137	0	0	0
0.261	1	3	27	2	3	14	125	0	0	0
0.261	1	6	27	2	4	14	389	0	0	0
0.262	1	1	27	3	2	8	173	0	0	0
0.262	1	3	27	3	3	10	277	0	0	0
0.263	1	1	27	4	2	8	173	0	0	0
0.263	1	3	27	4	3	10	277	0	0	0
0.264	1	1	27	5	2	8	173	0	0	0
0.264	1	3	27	5	3	10	277	0	0	0
0.265	1	1	27	6	2	8	173	0	0	0
0.265	1	3	27	6	3	10	277	0	0	0
0.266	1	1	27	7	2	4	125	0	0	0
0.266	1	2	27	7	7	28	935	0	0	0
0.267	1	5	27	8	1	28	935	0	0	0
0.267	1	1	27	8	2	4	125	0	0	0
0.268	1	1	27	9	2	4	125	0	0	0
0.268	1	2	27	9	7	28	935	0	0	0
0.269	1	5	27	10	1	28	935	0	0	0
0.269	1	1	27	10	2	4	125	0	0	0
0.27	1	1	28	1	2	0	81	0	0	0
0.271	1	1	28	2	2	4	125	0	0	0
0.271	1	2	28	2	7	28	935	0	0	0
0.272	1	5	28	3	1	28	935	0	0	0
0.272	1	1	28	3	2	4	125	0	0	0
0.273	1	1	28	4	2	4	125	0	0	0
0.273	1	2	28	4	7	28	935	0	0	0
0.274	1	5	28	5	1	28	749	0	0	0
0.274	1	1	28	5	2	2	87	0	0	0
0.275	1	1	28	6	2	0	81	0	0	0
0.276	1	1	28	7	2	0	81	0	0	0
0.277	1	1	28	8	2	0	81	0	0	0
0.278	1	1	28	9	2	0	81	0	0	0
0.279	1	1	28	10	2	0	81	0	0	0
0.28	1	1	29	1	2	0	81	0	0	0
0.281	1	1	29	2	2	0	81	0	0	0
0.282	1	1	29	3	2	0	81	0	0	0
0.283	1	1	29	4	2	0	81	0	0	0
0.284	1	1	29	5	2	0	81	0	0	0
0.285	1	1	29	6	2	0	81	0	0	0
0.286	1	1	29	7	2	0	81	0	0	0
0.287	1	1	29	8	2	0	81	0	0	0
0.288	1	1	29	9	2	0	81	0	0	0
0.289	1	1	29	10	2	0	81	0	0	0
0.29	1	1	30	1	2	0	81	0	0	0
0.291	1	6	30	2	4	14	717	0	0	0
0.291	1	4	30	2	8	14	61	0	0	0
0.292	1	6	30	3	4	16	389	0	0	0
0.292	1	4	30	3	8	14	453	0	0	0
