% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.219	1	5	22	10	1	28	2292	0
0.22	1	2	23	1	7	28	2292	0
0.221	1	3	23	2	3	2	65	0
0.221	1	4	23	2	8	8	209	0
0.224	1	3	23	5	3	2	65	0
0.225	1	2	23	6	7	28	749	0
0.225	1	4	23	6	8	10	157	0
0.226	1	3	23	7	3	2	41	0
0.226	1	4	23	7	8	10	157	0
0.227	1	3	23	8	3	2	41	0
0.227	1	4	23	8	8	10	157	0
0.228	1	4	23	9	8	12	201	0
0.237	1	3	24	8	3	2	41	0
0.237	1	6	24	8	4	4	69	0
0.239	1	5	24	10	1	28	749	0
0.239	1	2	24	10	7	28	749	0
0.24	1	5	25	1	1	28	749	0
0.24	1	2	25	1	7	28	749	0
0.241	1	3	25	2	3	2	41	0
0.241	1	4	25	2	8	12	201	0
0.242	1	1	25	3	2	4	51	0
0.242	1	4	25	3	8	12	149	0
0.243	1	4	25	4	8	12	201	0
0.244	1	1	25	5	2	4	51	0
0.244	1	6	25	5	4	10	117	0
0.244	1	4	25	5	8	12	149	0
0.245	1	1	25	6	2	4	69	0
0.245	1	4	25	6	8	12	201	0
0.246	1	1	25	7	2	4	105	0
0.246	1	3	25	7	3	2	65	0
0.247	1	1	25	8	2	4	225	0
0.248	1	1	25	9	2	4	225	0
0.249	1	1	25	10	2	4	225	0
0.259	1	5	26	10	1	28	2292	0
0.26	1	2	27	1	7	26	1908	0
0.261	1	4	27	2	8	10	157	0
0.261	1	1	27	2	2	4	69	0
0.261	1	3	27	2	3	4	69	0
0.262	1	4	27	3	8	10	157	0
0.262	1	1	27	3	2	4	69	0
0.262	1	3	27	3	3	4	69	0
0.263	1	4	27	4	8	10	157	0
0.263	1	1	27	4	2	4	69	0
0.263	1	3	27	4	3	4	69	0
0.264	1	4	27	5	8	10	157	0
0.264	1	1	27	5	2	4	69	0
0.264	1	3	27	5	3	4	69	0
0.265	1	1	27	6	2	4	69	0
0.265	1	6	27	6	4	14	253	0
0.266	1	1	27	7	2	4	69	0
0.266	1	6	27	7	4	14	253	0
0.267	1	1	27	8	2	4	69	0
0.267	1	6	27	8	4	14	253	0
0.268	1	1	27	9	2	4	69	0
0.268	1	6	27	9	4	14	253	0
0.269	1	6	27	10	4	10	233	0
0.27	1	6	28	1	4	10	233	0
0.279	1	2	28	10	7	20	597	0
0.28	1	5	29	1	1	28	1095	0
0.281	1	4	29	2	8	10	157	0
0.281	1	1	29	2	2	6	101	0
0.281	1	3	29	2	3	2	41	0
0.282	1	4	29	3	8	10	233	0
